,id,yearDiff,Stimmfach,H1H2LTAS,alphaRatio,CPPs,SNR,Jahr,alter,geschlecht,Voice Type,dSPL
24,23,0.12602739726027398,Ten/Bar/Bass,-8.245770665194321,-1.2543476005535334,21.265367248782724,50.30867099761963,2009,23.0,männl.,Baritone/Bass,33.64288782924064
25,23,1.1616438356164382,Ten/Bar/Bass,-4.1295691087114825,3.074332985729899,22.321010406979255,50.00682830810547,2009,23.0,männl.,Baritone/Bass,26.174377994612325
26,23,2.350684931506849,Ten/Bar/Bass,-6.193593350717955,-1.0149807634058434,20.00986062080286,38.143150806427,2009,23.0,männl.,Baritone/Bass,25.640747782406926
27,23,3.76986301369863,Ten/Bar/Bass,-5.761191916169123,1.1126172911261554,21.068896842105868,58.23430061340332,2009,23.0,männl.,Baritone/Bass,29.75703354146755
28,24,0.1095890410958904,Sop/Mezzo/Alt,3.897590431305949,-1.4139005418926796,12.245788018899168,49.172940254211426,2014,22.0,weibl.,Mezzo-Soprano/Contralto,22.492476683675463
29,24,1.2027397260273973,Sop/Mezzo/Alt,5.611309949703136,-1.239210579438815,15.753420713971886,50.50646781921387,2014,22.0,weibl.,Mezzo-Soprano/Contralto,31.321904574249587
30,24,2.6027397260273974,Sop/Mezzo/Alt,6.028138042446118,-1.2325881542799895,13.288543077974339,49.86518383026123,2014,22.0,weibl.,Mezzo-Soprano/Contralto,25.579192370129135
31,24,3.638356164383562,Sop/Mezzo/Alt,6.475210061264551,-0.6631674233401068,15.05614880477759,54.39374923706055,2014,22.0,weibl.,Mezzo-Soprano/Contralto,18.629185192869887
32,25,0.09315068493150686,Ten/Bar/Bass,-4.778975784874437,-1.5319748365191002,20.732438929140226,78.04706832716828,2008,19.0,männl.,Baritone/Bass,-17.41830385538263
33,25,1.3397260273972602,Ten/Bar/Bass,-4.62098647758791,0.3401970611696075,20.723476879099174,94.42677066585381,2008,19.0,männl.,Baritone/Bass,-9.673813555757475
34,25,2.1671232876712327,Ten/Bar/Bass,-8.893345486984183,1.0917765270321336,21.44230760676558,105.02153755468305,2008,19.0,männl.,Baritone/Bass,-8.057020876609982
