,id,yearDiff,Stimmfach,H1H2LTAS,alphaRatio,CPPs,SNR,Jahr,alter,geschlecht,Voice Type,dSPL
0,0,0.14246575342465753,Ten/Bar/Bass,-1.8115574201164029,0.16630652633292226,15.580084140408118,41.36282444000244,2010,20.0,männl.,Tenor,11.367920929099446
1,0,1.178082191780822,Ten/Bar/Bass,-1.9878443155681425,0.5805776337633451,16.201963609829008,34.53410863876343,2010,20.0,männl.,Tenor,18.035193444974677
2,0,2.750684931506849,Ten/Bar/Bass,-3.478879863942732,0.6439329629967283,16.63476794132438,49.57906723022461,2010,20.0,männl.,Tenor,12.279515017576282
3,0,3.345205479452055,Ten/Bar/Bass,-3.5403845031394416,0.45328712658097464,16.310791197445898,50.57810306549072,2010,20.0,männl.,Tenor,15.14473390284201
4,1,0.09041095890410959,Sop/Mezzo/Alt,-0.40071712721521846,1.0680868607102827,14.586545365672002,46.97542190551758,2014,19.0,weibl.,Soprano,15.989283205695601
5,1,1.1835616438356165,Sop/Mezzo/Alt,-0.45368699461164697,1.3232605930271857,15.008669628311942,47.21543788909912,2014,19.0,weibl.,Soprano,13.98437354096961
6,1,2.4684931506849317,Sop/Mezzo/Alt,-1.1256597777737496,1.004123825033784,15.370456921370296,39.69349384307861,2014,19.0,weibl.,Soprano,17.948312848264457
7,1,3.6191780821917807,Sop/Mezzo/Alt,0.7132691545408189,1.340945824662273,15.275893858685473,48.03703784942627,2014,19.0,weibl.,Soprano,11.537989610353154
8,3,0.1506849315068493,Sop/Mezzo/Alt,1.6400173346822189,0.5490520927445905,14.021529037892336,47.919554710388184,2013,26.0,weibl.,Mezzo-Soprano/Contralto,19.322230392889526
9,3,1.3397260273972602,Sop/Mezzo/Alt,1.701956688007119,0.9150002492608822,14.70224533720386,45.7890510559082,2013,26.0,weibl.,Mezzo-Soprano/Contralto,20.66255954655626
10,3,2.317808219178082,Sop/Mezzo/Alt,1.8188736439742823,1.4948783115252708,14.80895211722911,46.318984031677246,2013,26.0,weibl.,Mezzo-Soprano/Contralto,12.221480816829846
11,10,0.08767123287671233,Ten/Bar/Bass,-2.395374655309835,0.6022822989471255,14.50284942659023,31.4990234375,2009,21.0,männl.,Tenor,13.13781672193799
12,10,1.167123287671233,Ten/Bar/Bass,-2.4684246044569815,1.6771607684168512,14.401590368658367,38.26669692993164,2009,21.0,männl.,Tenor,-72.36916933371617
13,10,1.3342465753424657,Ten/Bar/Bass,-1.9488855696344134,2.207271271814423,15.871840314446331,38.43766450881958,2009,21.0,männl.,Tenor,17.60947903207197
14,10,2.2904109589041095,Ten/Bar/Bass,-2.21556413178305,2.6749403202588202,14.164266879815074,47.15513229370117,2009,21.0,männl.,Tenor,-70.86352440460232
15,10,3.452054794520548,Ten/Bar/Bass,-2.5920944525914873,3.20657600401663,14.658972935340127,42.35072612762451,2009,21.0,männl.,Tenor,18.153610065425948
16,15,0.1232876712328767,Sop/Mezzo/Alt,1.3937864403810216,-0.5633849475729484,14.513143992378597,47.9157829284668,2010,19.0,weibl.,Soprano,19.67287845955663
17,15,1.178082191780822,Sop/Mezzo/Alt,1.1745127111515354,-0.2261142148447885,15.269324928809777,45.20468235015869,2010,19.0,weibl.,Soprano,22.428554674912206
18,16,1.7863013698630137,Sop/Mezzo/Alt,1.1540800357955885,-0.7892943794228295,14.350418049136143,37.203166484832764,2006,19.0,weibl.,Soprano,16.922624344995313
19,16,2.4575342465753423,Sop/Mezzo/Alt,1.7702225749047664,-0.8882564500800925,13.770407179835946,32.755420207977295,2006,19.0,weibl.,Soprano,18.88251973052747
20,16,3.493150684931507,Sop/Mezzo/Alt,1.8499386095939905,-1.6134790418226133,12.536216749629363,38.04175615310669,2006,19.0,weibl.,Soprano,14.514712687968373
21,19,0.5753424657534246,Ten/Bar/Bass,-4.0078411566406675,0.7413876411441984,15.458694811738393,38.68166923522949,2012,19.0,männl.,Baritone/Bass,18.36773403307237
22,19,2.589041095890411,Ten/Bar/Bass,-3.9951208234611926,0.5530117117394187,15.90485630460358,43.94920825958252,2012,19.0,männl.,Baritone/Bass,17.574952156369854
23,19,3.547945205479452,Ten/Bar/Bass,-4.1534223518229885,0.023225216118051506,15.763505474336219,44.33187007904053,2012,19.0,männl.,Baritone/Bass,18.605138485820277
24,23,0.12602739726027398,Ten/Bar/Bass,-5.226296653418908,0.5518611088158479,16.912575857059323,38.67521524429321,2009,23.0,männl.,Baritone/Bass,22.592084788362996
25,23,1.1616438356164382,Ten/Bar/Bass,-5.603703540797753,1.264030598093095,18.458338892366843,47.608137130737305,2009,23.0,männl.,Baritone/Bass,6.346459866787447
26,23,2.350684931506849,Ten/Bar/Bass,-4.65667944980019,1.6869110517655161,15.921800398108495,43.80911350250244,2009,23.0,männl.,Baritone/Bass,17.13890750205325
27,23,3.76986301369863,Ten/Bar/Bass,-5.174978050053889,1.8231856356113512,16.531043660803764,49.41327095031738,2009,23.0,männl.,Baritone/Bass,16.64085628040756
28,24,0.1095890410958904,Sop/Mezzo/Alt,2.9747222225242007,-1.0843968544290985,13.5343968054911,45.01962661743164,2014,22.0,weibl.,Mezzo-Soprano/Contralto,17.714220558751506
29,24,1.2027397260273973,Sop/Mezzo/Alt,4.993234397076995,-0.7374497858087028,14.625456863593245,42.43866443634033,2014,22.0,weibl.,Mezzo-Soprano/Contralto,14.35596580656026
30,24,2.6027397260273974,Sop/Mezzo/Alt,3.807921640865181,0.11159728248946871,14.507920596607503,39.43739652633667,2014,22.0,weibl.,Mezzo-Soprano/Contralto,17.323069306692695
31,24,3.638356164383562,Sop/Mezzo/Alt,2.812277014833561,-0.11523244290562376,14.50705178645485,46.773719787597656,2014,22.0,weibl.,Mezzo-Soprano/Contralto,11.555491309340413
32,25,0.09315068493150686,Ten/Bar/Bass,-2.0131316684646827,1.0974460939105655,14.698613977891453,29.559082984924316,2008,19.0,männl.,Baritone/Bass,-68.74143494413391
33,25,1.3397260273972602,Ten/Bar/Bass,-4.204131444971914,0.5512138871652027,14.300234344310617,39.51650381088257,2008,19.0,männl.,Baritone/Bass,-64.12012053596092
34,25,2.1671232876712327,Ten/Bar/Bass,-5.725509078617317,0.8230400396230704,15.122116244933167,42.21112251281738,2008,19.0,männl.,Baritone/Bass,-62.246493664951146
35,25,3.293150684931507,Ten/Bar/Bass,-6.206366063938214,1.2126428304264336,15.346464794529387,53.11954975128174,2008,19.0,männl.,Baritone/Bass,-67.55107518740617
36,33,0.14246575342465753,Sop/Mezzo/Alt,-0.4021636740116586,-0.349026114469979,14.719893491869493,33.764381408691406,2010,21.0,weibl.,Soprano,12.703750269598684
37,33,1.5808219178082192,Sop/Mezzo/Alt,0.804699720531244,-0.5353705196336431,14.920358073312347,41.33626937866211,2010,21.0,weibl.,Soprano,10.303889207242312
38,33,3.536986301369863,Sop/Mezzo/Alt,1.252600609052505,-0.582008233986518,15.282057709231994,35.49521207809448,2010,21.0,weibl.,Soprano,19.031695053184972
39,34,0.0958904109589041,Ten/Bar/Bass,-4.191847519132029,-0.19672417817299032,14.104706349130131,34.39627170562744,2008,25.0,männl.,Baritone/Bass,-63.74319694615571
40,34,1.336986301369863,Ten/Bar/Bass,-3.8644008334508486,-0.07675636762043349,13.430006756353082,29.64040756225586,2008,25.0,männl.,Baritone/Bass,6.465946744879279
41,34,2.1671232876712327,Ten/Bar/Bass,-4.486728171699344,-0.2426256317056791,16.173881258778543,46.89918041229248,2008,25.0,männl.,Baritone/Bass,-64.62442374599812
42,43,1.3424657534246576,Ten/Bar/Bass,-4.098565745756046,1.2600649972447722,15.884015385999728,32.04474925994873,2007,26.0,männl.,Tenor,13.987512931897388
43,43,3.336986301369863,Ten/Bar/Bass,-3.2951205565662205,1.7394032190344761,17.367613132319622,47.79093265533447,2007,26.0,männl.,Tenor,12.349399851981818
44,44,0.1232876712328767,Ten/Bar/Bass,-2.569524887472967,0.9175189223249258,15.517165593799403,46.50477886199951,2010,23.0,männl.,Baritone/Bass,18.071334838827116
45,44,1.5041095890410958,Ten/Bar/Bass,-3.1323989442305313,1.3689937527715068,15.292791465254416,47.28615760803223,2010,23.0,männl.,Baritone/Bass,16.668761909568545
46,44,2.578082191780822,Ten/Bar/Bass,-2.728843680476137,1.5235695812058925,14.865376111880593,41.42106056213379,2010,23.0,männl.,Baritone/Bass,16.76975698386829
47,44,3.326027397260274,Ten/Bar/Bass,-3.661922411263929,2.1474054582796263,15.118102198997098,48.61051559448242,2010,23.0,männl.,Baritone/Bass,14.264137984151365
48,46,0.1506849315068493,Sop/Mezzo/Alt,0.5407417378112032,0.2611302062460082,13.820190187380506,43.08624267578125,2013,20.0,weibl.,Soprano,18.776845017372604
49,46,1.3397260273972602,Sop/Mezzo/Alt,0.6136580194879402,-0.34883038431679136,14.041171561681635,41.3725471496582,2013,20.0,weibl.,Soprano,19.75478792047172
50,46,2.317808219178082,Sop/Mezzo/Alt,0.9862792165069668,-0.31789193648667025,13.830767511896068,39.715983867645264,2013,20.0,weibl.,Soprano,17.93590136949502
51,47,0.1589041095890411,Ten/Bar/Bass,-5.042454166161842,-0.6418771153688083,17.503944060498565,47.366719245910645,2016,25.0,männl.,Baritone/Bass,19.69525846660298
52,47,1.3287671232876712,Ten/Bar/Bass,-4.403137685445806,-0.35052963619611255,15.260114875816978,48.09948921203613,2016,25.0,männl.,Baritone/Bass,11.799878222280217
53,48,0.16164383561643836,Ten/Bar/Bass,-4.384225650592112,-0.34023060462448373,16.097701412584893,45.527706146240234,2015,19.0,männl.,Baritone/Bass,17.72788660253256
54,48,1.2164383561643837,Ten/Bar/Bass,-4.987324904437662,-0.15180318671769602,14.972952780668766,48.48906993865967,2015,19.0,männl.,Baritone/Bass,13.266026669903269
55,48,2.734246575342466,Ten/Bar/Bass,-5.216349460171413,0.5428179030861662,15.984238697690165,50.21376132965088,2015,19.0,männl.,Baritone/Bass,17.6212769451787
56,52,0.18904109589041096,Ten/Bar/Bass,-3.6209868049169365,1.1364337852894524,15.36135392849641,46.81759834289551,2014,25.0,männl.,Baritone/Bass,17.451498450836045
57,52,1.1835616438356165,Ten/Bar/Bass,-4.134522228885219,0.4840951721046815,15.816496680101327,41.96519374847412,2014,25.0,männl.,Baritone/Bass,16.491939713433418
58,52,2.4876712328767123,Ten/Bar/Bass,-4.243352225929852,0.6528352979280816,15.353967925216022,52.03465938568115,2014,25.0,männl.,Baritone/Bass,20.976545950731943
59,52,3.6191780821917807,Ten/Bar/Bass,-5.252981468181045,0.8825265213283553,14.765230683024955,30.581581592559814,2014,25.0,männl.,Baritone/Bass,1.327617383528326
60,54,0.20273972602739726,Sop/Mezzo/Alt,0.4612547558140944,0.8802563716491674,16.175160290611423,47.02557563781738,2015,21.0,weibl.,Soprano,16.512072582239053
61,54,1.736986301369863,Sop/Mezzo/Alt,0.41041746775665183,1.1841088906448076,16.525235239497505,35.51503896713257,2015,21.0,weibl.,Soprano,14.831496341023268
62,56,0.18082191780821918,Sop/Mezzo/Alt,-0.08009929133460106,1.570509417027777,14.72625656919067,48.50898265838623,2015,21.0,weibl.,Soprano,19.949433391784346
63,56,1.2191780821917808,Sop/Mezzo/Alt,0.38238675355208057,1.049304746548115,14.235531963550189,42.58791446685791,2015,21.0,weibl.,Soprano,14.915614238149042
64,56,2.580821917808219,Sop/Mezzo/Alt,0.6684510027091851,1.3286154035245834,15.136149555594068,48.79242420196533,2015,21.0,weibl.,Soprano,20.041250250808048
65,61,1.7561643835616438,Ten/Bar/Bass,-4.866066871104994,-0.3255269021834973,15.976891277535106,31.85018301010132,2006,24.0,männl.,Baritone/Bass,19.782546980162564
66,61,2.7260273972602738,Ten/Bar/Bass,-3.8827210689709784,-0.4310294662999217,15.426151930094981,31.517817974090576,2006,24.0,männl.,Baritone/Bass,15.215874261416921
67,61,3.723287671232877,Ten/Bar/Bass,-3.8829120657081075,-0.37936442457479114,15.548597403745713,34.398579597473145,2006,24.0,männl.,Baritone/Bass,15.006693717074544
68,66,0.10136986301369863,Sop/Mezzo/Alt,-0.2825839606321567,0.9190007745291382,15.800285502376372,48.55982780456543,2017,22.0,weibl.,Soprano,18.47890159060759
69,66,1.1917808219178083,Sop/Mezzo/Alt,0.11971117546787939,1.4596088122840234,15.412605581507442,46.723127365112305,2017,22.0,weibl.,Soprano,20.00318142231047
70,72,0.5589041095890411,Sop/Mezzo/Alt,,,,,2008,25.0,weibl.,Mezzo-Soprano/Contralto,
71,72,1.747945205479452,Sop/Mezzo/Alt,,,,,2008,25.0,weibl.,Mezzo-Soprano/Contralto,
72,72,2.1671232876712327,Sop/Mezzo/Alt,2.266285741561744,0.991602195429848,15.159143608911773,48.76169681549072,2008,25.0,weibl.,Mezzo-Soprano/Contralto,-55.80564657601212
73,72,3.2904109589041095,Sop/Mezzo/Alt,1.900552129268529,1.2941002550254366,15.561534048054178,50.12274742126465,2008,25.0,weibl.,Mezzo-Soprano/Contralto,-59.95797807048043
74,74,0.1589041095890411,Sop/Mezzo/Alt,2.933953795630594,0.6716371004538312,15.368196010807834,46.772165298461914,2016,23.0,weibl.,Mezzo-Soprano/Contralto,20.39988178712378
75,74,1.2136986301369863,Sop/Mezzo/Alt,3.7366047601018777,-0.06192823978052911,15.60612617281433,48.936495780944824,2016,23.0,weibl.,Mezzo-Soprano/Contralto,15.880715171230495
76,77,1.3041095890410959,Sop/Mezzo/Alt,0.7078309436189907,0.8382453826242892,13.308698874840578,30.43853521347046,2007,19.0,weibl.,Soprano,12.92066196858286
77,77,2.3205479452054796,Sop/Mezzo/Alt,1.4908916482490706,0.4160825050377055,11.99912947673779,27.476768493652344,2007,19.0,weibl.,Soprano,5.8694603273312
78,78,1.4575342465753425,Sop/Mezzo/Alt,-1.2093961635901909,-0.24287171615788025,12.699977978309484,32.08930730819702,2007,19.0,weibl.,Soprano,14.902700333283015
79,78,2.493150684931507,Sop/Mezzo/Alt,0.11875392513912864,0.2061568429300377,13.091160304939663,35.6663179397583,2007,19.0,weibl.,Soprano,15.24270445857267
80,78,3.778082191780822,Sop/Mezzo/Alt,1.049312008870664,0.4483376264796279,15.084066626436622,44.628777503967285,2007,19.0,weibl.,Soprano,15.704668122117067
81,80,0.09315068493150686,Sop/Mezzo/Alt,4.275358068313466,-1.6982642454245909,12.936419176396969,30.955734252929688,2008,19.0,weibl.,Soprano,-61.82972658984095
82,80,1.2986301369863014,Sop/Mezzo/Alt,2.194856052130092,-0.926385013342506,12.889725883605598,39.02396202087402,2008,19.0,weibl.,Soprano,16.122649030657723
83,80,2.1671232876712327,Sop/Mezzo/Alt,2.375105793166377,-1.4633198929188282,14.12276294216815,39.314255714416504,2008,19.0,weibl.,Soprano,-65.36343923854761
84,80,3.293150684931507,Sop/Mezzo/Alt,1.527897189637129,-0.7076914160979185,14.320500297049747,48.319668769836426,2008,19.0,weibl.,Soprano,-62.32079170434158
85,81,0.12054794520547946,Sop/Mezzo/Alt,2.535234343911358,0.9056428897677855,14.75138174358541,43.4865665435791,2017,23.0,weibl.,Mezzo-Soprano/Contralto,17.542785748877748
86,81,1.1342465753424658,Sop/Mezzo/Alt,3.097454895151493,0.7194952175285152,15.38136284264655,46.29538059234619,2017,23.0,weibl.,Mezzo-Soprano/Contralto,26.810156975190075
87,84,0.1506849315068493,Sop/Mezzo/Alt,-0.4782731345028576,1.4393917841295978,14.670329036195294,46.972174644470215,2013,21.0,weibl.,Soprano,19.69396942145513
88,84,1.3397260273972602,Sop/Mezzo/Alt,-1.6845834255827121,1.0467724376877356,14.872304163044205,47.119150161743164,2013,21.0,weibl.,Soprano,17.974895841409584
89,84,2.2986301369863016,Sop/Mezzo/Alt,1.3127242909832526,0.48537630990114755,14.165753771766829,48.75929355621338,2013,21.0,weibl.,Soprano,15.555501038607044
90,84,3.506849315068493,Sop/Mezzo/Alt,0.994397590765894,0.7837798409235981,14.965298334287086,50.47116279602051,2013,21.0,weibl.,Soprano,21.933483306508904
91,87,0.1506849315068493,Ten/Bar/Bass,-6.36053920810207,-0.15270042765785283,16.44124508638266,44.68597412109375,2013,23.0,männl.,,15.022474776755871
92,87,1.3397260273972602,Ten/Bar/Bass,-5.651923046331232,1.2071161346009645,16.500473931589248,36.220057010650635,2013,23.0,männl.,,23.65301876207895
93,87,3.66027397260274,Ten/Bar/Bass,-3.8535265321142154,0.5258352972128826,16.16300009835966,44.26806449890137,2013,23.0,männl.,,16.200827965008102
94,90,0.18082191780821918,Sop/Mezzo/Alt,3.387877574139759,-0.43680806394652943,14.492465948138435,39.690983295440674,2015,18.0,weibl.,Mezzo-Soprano/Contralto,14.815205625020724
95,90,2.7150684931506848,Sop/Mezzo/Alt,4.186204467874385,0.40739916554758476,15.31304337755133,40.654544830322266,2015,18.0,weibl.,Mezzo-Soprano/Contralto,13.563297093391519
96,91,0.09315068493150686,Sop/Mezzo/Alt,1.4292111451882403,-1.3591424007246795,13.988919046275331,37.97637701034546,2008,20.0,weibl.,Mezzo-Soprano/Contralto,-63.2391261866273
97,91,1.2027397260273973,Sop/Mezzo/Alt,2.135207735147762,-0.2743865976154585,13.053475939059313,34.99011754989624,2008,20.0,weibl.,Mezzo-Soprano/Contralto,15.196261245736718
98,91,2.1726027397260275,Sop/Mezzo/Alt,2.9835107665795584,-0.11900363741190098,14.266005947618403,51.36527061462402,2008,20.0,weibl.,Mezzo-Soprano/Contralto,-60.56955139955975
99,91,3.1397260273972605,Sop/Mezzo/Alt,3.079544925368066,0.05138042707499828,15.247205724257931,43.639259338378906,2008,20.0,weibl.,Mezzo-Soprano/Contralto,19.88332973962915
100,96,1.4575342465753425,Ten/Bar/Bass,-2.3525615800438495,1.058963308731868,14.381466204830266,29.762682914733887,2007,20.0,männl.,Baritone/Bass,11.518393713611044
101,96,2.7424657534246575,Ten/Bar/Bass,-3.81612218693808,0.5686561945213906,15.43681065086069,36.221046447753906,2007,20.0,männl.,Baritone/Bass,12.60025792294047
102,97,0.0821917808219178,Sop/Mezzo/Alt,0.723451623945156,-1.0847721773316836,14.80358109785744,47.67922878265381,2016,19.0,weibl.,Soprano,17.789810889216547
103,97,1.2136986301369863,Sop/Mezzo/Alt,0.7869821790023307,-0.28267446840764193,15.441141068263873,46.76130771636963,2016,19.0,weibl.,Soprano,15.741179148013503
104,98,0.4794520547945205,Sop/Mezzo/Alt,0.4433371790647124,0.8640388333158739,15.700625942498213,49.291977882385254,2012,19.0,weibl.,Soprano,14.581634713004208
105,98,1.3041095890410959,Sop/Mezzo/Alt,1.9868463302179702,0.4701297223548885,15.273469008161925,37.10017919540405,2012,19.0,weibl.,Soprano,14.606028706043165
106,100,0.1589041095890411,Sop/Mezzo/Alt,3.798110654627021,-0.7195349404415076,14.139787372685433,44.08191680908203,2016,23.0,weibl.,Mezzo-Soprano/Contralto,20.44394399422827
107,100,1.3287671232876712,Sop/Mezzo/Alt,2.8389069384650165,-0.6868978916749267,13.810985091771268,16.42256259918213,2016,23.0,weibl.,Mezzo-Soprano/Contralto,18.99883224461837
108,103,1.3232876712328767,Sop/Mezzo/Alt,-0.6141615883769932,-0.34032899928131644,14.539880769880332,34.81855869293213,2007,20.0,weibl.,Soprano,19.37277642491826
109,103,2.7616438356164386,Sop/Mezzo/Alt,1.3221984729675373,-1.2264875098688057,14.380007434350208,36.89697027206421,2007,20.0,weibl.,Soprano,14.06697311884252
110,108,0.12054794520547946,Sop/Mezzo/Alt,-0.10724935250685048,-0.9220832640526737,14.84581772404738,44.02164936065674,2016,19.0,weibl.,Soprano,18.283223988532946
111,108,1.2136986301369863,Sop/Mezzo/Alt,1.6409619498688401,-0.4240474185785514,15.042138675341368,45.4119348526001,2016,19.0,weibl.,Soprano,18.333038370729046
112,112,0.1506849315068493,Sop/Mezzo/Alt,2.337502711047778,-0.5124589139169942,15.599459395606292,50.153746604919434,2013,21.0,weibl.,Mezzo-Soprano/Contralto,17.735679290343946
113,112,1.3397260273972602,Sop/Mezzo/Alt,2.244115847021258,0.028571965668897397,14.868203682538809,46.5013313293457,2013,21.0,weibl.,Mezzo-Soprano/Contralto,18.52098857791696
114,113,0.13150684931506848,Ten/Bar/Bass,-4.787807737544659,1.5837398513371148,15.566038834410023,51.27970218658447,2013,22.0,männl.,Tenor,12.853197193283501
115,113,1.4931506849315068,Ten/Bar/Bass,-2.2358774502820764,1.0376028382842803,16.03993513278041,41.10092639923096,2013,22.0,männl.,Tenor,9.130096135114176
